Date,Open,High,Low,Close,Adj Close,Volume
2019-01-25,47.779999,48.750000,47.590000,48.209999,47.213737,3779600
2019-01-28,48.230000,48.389999,47.919998,48.209999,47.213737,2687000
2019-01-29,49.000000,49.320000,48.799999,49.110001,48.095139,3019000
2019-01-30,49.840000,51.110001,49.790001,50.730000,49.681660,3612500
2019-01-31,50.689999,51.250000,50.549999,51.189999,50.132156,2383100
2019-02-01,50.919998,51.270000,50.810001,51.090000,50.034222,1362600
2019-02-04,50.759998,51.290001,50.610001,51.119999,50.063602,2407900
2019-02-05,51.080002,51.220001,50.950001,51.150002,50.092983,1369200
2019-02-06,50.730000,51.290001,50.700001,51.009998,49.955875,2490600
2019-02-07,50.919998,51.020000,50.240002,50.470001,49.427036,2324700
2019-02-08,50.389999,50.779999,50.259998,50.700001,49.652283,2416000
2019-02-11,50.540001,50.980000,50.529999,50.900002,49.848152,2147300
2019-02-12,51.040001,51.360001,50.910000,51.250000,50.190918,2396900
2019-02-13,51.869999,52.160000,51.639999,51.660000,50.592442,2249900
2019-02-14,51.549999,52.180000,51.490002,51.970001,50.896038,1329600
2019-02-15,52.500000,52.790001,52.169998,52.759998,51.669712,1791000
2019-02-19,52.700001,53.790001,52.639999,53.200001,52.100620,2375700
2019-02-20,53.610001,54.439999,53.480000,54.169998,53.050571,2232200
2019-02-21,53.299999,53.520000,52.849998,53.389999,52.286694,2672500
2019-02-22,54.230000,54.509998,54.090000,54.299999,53.177887,1230400
2019-02-25,54.000000,54.299999,53.849998,54.160000,53.040779,1826700
2019-02-26,54.230000,54.689999,54.200001,54.480000,53.354168,1112300
2019-02-27,54.599998,54.730000,54.240002,54.279999,53.158298,2031500
2019-02-28,53.139999,53.310001,52.849998,52.900002,51.806820,2418000
2019-03-01,53.009998,53.230000,52.389999,52.509998,51.424877,4278800
2019-03-04,52.689999,52.889999,52.490002,52.790001,51.699093,1758900
2019-03-05,52.790001,53.009998,52.750000,52.889999,51.797024,963000
2019-03-06,53.680000,53.740002,53.090000,53.230000,52.129997,1677100
2019-03-07,52.009998,52.110001,51.639999,51.889999,51.889999,1854300
2019-03-08,51.110001,51.689999,51.009998,51.650002,51.650002,1464100
2019-03-11,51.970001,52.200001,51.849998,52.130001,52.130001,1270300
2019-03-12,52.220001,52.490002,52.119999,52.279999,52.279999,1238900
2019-03-13,53.009998,53.119999,52.619999,52.810001,52.810001,1127200
2019-03-14,52.360001,52.470001,52.160000,52.200001,52.200001,1983200
2019-03-15,51.880001,52.160000,51.810001,52.119999,52.119999,2218900
2019-03-18,52.779999,53.139999,52.689999,53.020000,53.020000,1555200
2019-03-19,54.020000,54.020000,52.680000,52.840000,52.840000,4168000
2019-03-20,52.689999,53.740002,52.310001,53.389999,53.389999,3330600
2019-03-21,53.509998,53.770000,53.029999,53.689999,53.689999,2531500
2019-03-22,52.939999,53.200001,52.220001,52.250000,52.250000,2267600
2019-03-25,52.389999,53.040001,52.340000,52.709999,52.709999,2104300
2019-03-26,53.439999,53.669998,53.310001,53.500000,53.500000,2615100
2019-03-27,53.830002,53.959999,53.389999,53.860001,53.860001,2869700
2019-03-28,53.959999,54.119999,53.730000,54.009998,54.009998,1793300
2019-03-29,54.779999,54.950001,54.369999,54.669998,54.669998,2938200
2019-04-01,56.220001,56.389999,55.910000,56.000000,56.000000,3708800
2019-04-02,56.009998,56.180000,55.840000,56.110001,56.110001,3068900
2019-04-03,56.840000,56.889999,56.160000,56.299999,56.299999,3470300
2019-04-04,56.029999,56.230000,55.759998,56.180000,56.180000,1759000
2019-04-05,56.349998,56.590000,56.160000,56.330002,56.330002,1208200
2019-04-08,56.919998,57.160000,56.689999,57.130001,57.130001,1468900
2019-04-09,56.840000,56.990002,56.430000,56.509998,56.509998,1197100
2019-04-10,56.869999,57.250000,56.730000,57.000000,57.000000,1633900
2019-04-11,56.389999,56.630001,56.119999,56.349998,56.349998,851200
2019-04-12,57.029999,57.169998,56.730000,56.830002,56.830002,1440000
2019-04-15,56.189999,56.400002,55.959999,56.020000,56.020000,1222700
2019-04-16,56.070000,56.180000,55.070000,55.369999,55.369999,2713700
2019-04-17,54.950001,55.189999,54.480000,55.119999,55.119999,1964600
2019-04-18,54.830002,55.000000,54.669998,54.950001,54.950001,1137400
2019-04-22,54.680000,55.240002,54.660000,55.130001,55.130001,1408000
2019-04-23,54.400002,54.889999,54.209999,54.680000,54.680000,1650700
2019-04-24,54.090000,54.090000,53.240002,53.299999,53.299999,1499300
2019-04-25,53.169998,53.500000,52.860001,53.349998,53.349998,1345600
2019-04-26,53.200001,53.509998,53.110001,53.279999,53.279999,1181700
2019-04-29,53.310001,53.389999,53.130001,53.340000,53.340000,939800
2019-04-30,53.139999,53.200001,52.910000,52.950001,52.950001,1227200
2019-05-01,53.099998,53.160000,51.860001,51.919998,51.919998,3073800
2019-05-02,51.639999,52.060001,51.580002,51.720001,51.720001,1467900
2019-05-03,52.299999,52.910000,52.259998,52.810001,52.810001,1574700
2019-05-06,51.130001,51.970001,51.080002,51.900002,51.900002,1578700
2019-05-07,52.070000,52.130001,51.400002,51.889999,51.889999,1399900
2019-05-08,51.299999,51.950001,51.250000,51.779999,51.779999,1604700
2019-05-09,51.000000,51.570000,50.750000,51.450001,51.450001,1374400
2019-05-10,51.400002,52.090000,51.119999,51.869999,51.869999,1322400
2019-05-13,50.889999,51.020000,50.209999,50.650002,50.650002,2349700
2019-05-14,51.240002,51.419998,50.970001,51.250000,51.250000,1360500
2019-05-15,50.599998,51.490002,50.529999,51.419998,51.419998,1497500
2019-05-16,51.590000,52.410000,51.590000,52.040001,52.040001,1577600
2019-05-17,52.020000,52.349998,51.919998,52.070000,52.070000,2015300
2019-05-20,51.880001,52.430000,51.790001,52.320000,52.320000,3128300
2019-05-21,52.209999,52.389999,51.869999,52.340000,52.340000,4709400
2019-05-22,52.099998,52.209999,51.660000,51.759998,51.759998,1224700
2019-05-23,51.130001,51.439999,50.790001,51.279999,51.279999,1820200
2019-05-24,52.320000,52.680000,52.090000,52.480000,52.480000,2236300
2019-05-28,53.340000,53.599998,53.150002,53.150002,53.150002,1700700
2019-05-29,52.130001,52.669998,52.080002,52.639999,52.639999,2183800
2019-05-30,52.680000,52.779999,52.410000,52.500000,52.500000,1803600
2019-05-31,51.580002,52.150002,51.520000,51.910000,51.910000,2066600
2019-06-03,51.790001,52.500000,51.750000,52.380001,52.380001,2858700
2019-06-04,52.570000,53.070000,52.330002,53.009998,53.009998,1308700
2019-06-05,52.919998,53.099998,52.279999,52.380001,52.380001,2422900
2019-06-06,52.529999,52.849998,52.459999,52.720001,52.720001,2495400
2019-06-07,53.000000,53.740002,52.900002,53.099998,53.099998,2168200
2019-06-10,53.639999,53.830002,53.169998,53.330002,53.330002,2803000
2019-06-11,54.900002,55.169998,54.759998,55.049999,55.049999,3909800
2019-06-12,54.970001,55.480000,54.779999,54.779999,54.779999,1798800
2019-06-13,55.400002,55.590000,55.209999,55.470001,55.470001,1788800
